product_name,brand,category,subcategory,size,mrp,discount_pct,selling_price,price_per_unit,stock,rating,review_count,source,search_category
"Pampers Complete Skin Comfort Pants (XXXL) 22 Count, 16-30 kg, Anti-rash blanket, 360 degree Lotion with Aloe Vera",Pampers,Diapering,Baby Diapers,XXXL,1249.0,29.0,881.29,40.06,264,4.24,6996,FirstCry,diapering
Babyoye Air Soft Premium Pant Style Diapers Small - 70 Pieces | All Night Dryness | Prevents Diaper Rash | Upto 12 Hr Leakage Protection | Super Soft & Comfy | Quick Absorption,Babyoye,Diapering,Baby Diapers,Small,1449.0,50.0,724.5,10.35,3055,4.17,290,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | L Size, 84 Diapers",Huggies,Diapering,Baby Diapers,Large,1590.0,39.0,965.13,11.49,8413,4.2,7501,FirstCry,diapering
Babyhug Pro Bubble Care Premium Tape Style Diaper Extra Large - 84 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Extra Large (XL),2435.0,19.0,1980.63,23.58,8464,4.32,1895,FirstCry,diapering
R for Rabbit Medium m Size Premium Feather Diaper for Baby 7 to 12 kgs (48 Pack Offer),R for Rabbit,Diapering,Baby Diapers,Medium,1215.0,21.0,958.03,19.96,9413,4.45,905,FirstCry,diapering
"Mamypoko pants Extra Absorb| Pant Style Baby Diapers (XXXL), 18 Count, 18-35kg||Deep Sleep Diapers| Soft gentle fit |Deep Absorbent Crisscross | skin friendly with coconut oil",MamyPoko,Diapering,Baby Diapers,XXXL,937.0,20.0,745.57,41.42,151,4.41,1381,FirstCry,diapering
Huggies Natural Soft Premium Baby Diaper Pants Extra Large - 126 Pieces,Huggies,Diapering,Baby Diapers,XL,3897.0,41.0,2295.33,18.22,411,4.32,1666,FirstCry,diapering
R for Rabbit XL Size Premium Feather Diaper for Baby 12 to 17 kgs (46 Pack Offer),R for Rabbit,Diapering,Baby Diapers,Extra Large,1215.0,18.0,998.0,21.7,12827,4.45,905,FirstCry,diapering
Sebamed Baby Rash Cream|pH 5.5|Ideal for Diaper Rashes|100 ml,Sebamed,Diapering,Diaper Rash Cream,100 ml,630.0,5.0,598.5,0.0,1180,4.62,259,FirstCry,diapering
"Huggies Dry Tape | Adjustable Tape Style Diapers, Large (L) Size (9-14 Kgs), Combo Pack of 104 | Up To 2X Faster Absorption, Up To 12 Hours Overnight Absorption",Huggies,Diapering,Baby Diapers,Large,1870.0,31.0,1295.16,12.45,542,3.98,2177,FirstCry,diapering
"Huggies Complete Comfort Wonder Pants, India's Fastest Absorbing Diaper | M Size, 76 Diapers",Huggies,Diapering,Baby Diapers,Medium,1299.0,43.0,744.98,9.8,199,4.2,7501,FirstCry,diapering
Babyhug Milk Daily Moisturising Baby Wet Wipes 98% Water Pack of 6   - 72 Pieces Each,Babyhug,Diapering,Baby Wipes,Pack of 6,1194.0,46.0,638.79,0.0,9825,4.48,910,FirstCry,diapering
Pampers Premium Care Diaper Pants with No Marks Design - Pack of 92,Pampers,Diapering,Baby Diapers,New Born,1729.0,41.0,1011.64,11.0,292,4.48,5637,FirstCry,diapering
